month,category,total_amount
2024-01,"サブスクリプション",2280
2024-02,"サブスクリプション",2280
2024-03,"サブスクリプション",2280
2024-04,"サブスクリプション",2280
2024-05,"サブスクリプション",2280
2024-05,"水道光熱費",5665
2024-06,"サブスクリプション",2280
2024-06,"水道光熱費",14249
2024-07,"イベント特別費",61958
2024-07,"サブスクリプション",2280
2024-07,"外食費",2700
2024-07,"雑費",4800
2024-08,"サブスクリプション",2280
2024-08,"住居費",38000
2024-08,"口座貯蓄",20000
2024-08,"外食費",3805
2024-08,"日用品費",7952
2024-08,"水道光熱費",11964
2024-08,"生活費用",120000
2024-08,"被服費",1958
2024-08,"通信費",5060
2024-08,"食費",14096
2024-09,"イベント特別費",14492
2024-09,"サブスクリプション",2280
2024-09,"住居費",38000
2024-09,"口座貯蓄",20000
2024-09,"外食費",10741
2024-09,"日用品費",9792
2024-09,"水道光熱費",15936
2024-09,"生活費用",120000
2024-09,"通信費",5060
2024-09,"雑費",13266
2024-09,"食費",36422
2024-10,"サブスクリプション",2280
2024-10,"住居費",38000
2024-10,"口座貯蓄",20000
2024-10,"外食費",3715
2024-10,"日用品費",8753
2024-10,"水道光熱費",15637
2024-10,"生活費用",120000
2024-10,"通信費",11352
2024-10,"食費",41447
2024-11,"サブスクリプション",2280
2024-11,"住居費",38000
2024-11,"口座貯蓄",20000
2024-11,"外食費",4231
2024-11,"日用品費",8329
2024-11,"水道光熱費",11571
2024-11,"生活費用",120000
2024-11,"雑費",71883
2024-11,"食費",38167
2024-12,"イベント特別費",127558
2024-12,"サブスクリプション",2280
2024-12,"住居費",38000
2024-12,"口座貯蓄",20000
2024-12,"外食費",12427
2024-12,"日用品費",9575
2024-12,"水道光熱費",21067
2024-12,"生活費用",120000
2024-12,"通信費",7590
2024-12,"食費",40063
2025-01,"サブスクリプション",2280
2025-01,"住居費",38000
2025-01,"口座貯蓄",20000
2025-01,"外食費",12785
2025-01,"日用品費",21865
2025-01,"水道光熱費",26226
2025-01,"生活費用",120000
2025-01,"通信費",4070
2025-01,"雑費",7974
2025-01,"食費",52785
2025-02,"サブスクリプション",2280
2025-02,"住居費",38000
2025-02,"医療費",8000
2025-02,"口座貯蓄",20000
2025-02,"外食費",22580
2025-02,"日用品費",21059
2025-02,"水道光熱費",24371
2025-02,"生活費用",120000
2025-02,"被服費",649
2025-02,"通信費",4070
2025-02,"雑費",18579
2025-02,"食費",38155
2025-03,"イベント特別費",56764
2025-03,"サブスクリプション",2280
2025-03,"口座貯蓄",20000
2025-03,"外食費",9688
2025-03,"日用品費",10893
2025-03,"水道光熱費",17414
2025-03,"生活費用",120000
2025-03,"通信費",4070
2025-03,"雑費",9440
2025-03,"食費",33681
2025-04,"サブスクリプション",6922
2025-04,"口座貯蓄",20000
2025-04,"外食費",11605
2025-04,"日用品費",20168
2025-04,"生活費用",130000
2025-04,"食費",16398
2025-05,"医療費",10990
2025-05,"口座貯蓄",20000
2025-05,"外食費",19638
2025-05,"日用品費",4391
2025-05,"生活費用",130000
2025-05,"雑費",1947
2025-05,"食費",41647
2025-06,"イベント特別費",4980
2025-06,"口座貯蓄",20000
2025-06,"外食費",16765
2025-06,"日用品費",24313
2025-06,"水道光熱費",4686
2025-06,"生活費用",130000
2025-06,"雑費",17459
2025-06,"食費",18008
2025-07,"イベント特別費",20924
2025-07,"口座貯蓄",10000
2025-07,"外食費",15207
2025-07,"日用品費",13814
2025-07,"生活費用",130000
2025-07,"雑費",11000
2025-07,"食費",29593
2025-08,"口座貯蓄",20000
2025-08,"外食費",11265
2025-08,"日用品費",19006
2025-08,"水道光熱費",4708
2025-08,"生活費用",130000
2025-08,"通信費",12276
2025-08,"食費",29561
2025-09,"イベント特別費",8930
2025-09,"外食費",11074
2025-09,"日用品費",6144
2025-09,"食費",125334
2025-10,"外食費",8172
2025-10,"日用品費",6611
2025-10,"食費",17321
2025-11,"外食費",3120
